ID_CLIENTE,FECHA,TIPO DE CREDITO,COOPERATIVA,MONTO,PLAZO,PAGADURIA,ANIO_NACIMIENTO,ESTADO,FECHA DE DESEMBOLSO,EDAD_AL_PRESTAMO,DIAS_HASTA_DESEMBOLSO,MONTO_M,ANIO,MES
109,2019-11-28,COMPRA DE CARTERA,GIROS Y FINANZAS,,120.0,COLPENSIONES,,NO_DESEMBOLSADO,,,,,2019.0,11.0
110,2019-11-28,REFINANCIACIÓN,COOPIDESARROLLO,3657000.0,72.0,MAPFRE,1979,DESEMBOLSADO,2019-12-11,40.0,13.0,3.657,2019.0,11.0
111,2019-11-29,LIBRE INVERSIÓN,EXCELCREDIT,4632000.0,120.0,MUNICIPIO/ALCALDIA,1942,NO_DESEMBOLSADO,,77.0,,4.632,2019.0,11.0
112,2019-11-29,LIBRE INVERSIÓN,VIVECREDITO,19529197.0,108.0,CASUR,,DESEMBOLSADO,2019-12-03,,4.0,19.529197,2019.0,11.0
113,2019-12-03,COMPRA DE CARTERA,MISSION,2400000.0,96.0,COLPENSIONES,1948,DESEMBOLSADO,2020-01-13,71.0,,2.4,2019.0,12.0
114,2019-12-05,LIBRE INVERSIÓN,MISSION,5000000.0,108.0,COLPENSIONES,1953,DESEMBOLSADO,,66.0,,5.0,2019.0,12.0
60,2019-12-05,LIBRE INVERSIÓN,COOPIDESARROLLO,4600000.0,72.0,COLPENSIONES,1957,DESEMBOLSADO,2019-12-16,62.0,11.0,4.6,2019.0,12.0
80,2019-12-05,LIBRE INVERSIÓN,COOPIDESARROLLO,8000000.0,36.0,COLPENSIONES,1956,DESEMBOLSADO,2019-12-26,63.0,21.0,8.0,2019.0,12.0
115,2019-12-05,LIBRE INVERSIÓN,BAYPORT,25888638.0,108.0,ECOPETROL,,DESEMBOLSADO,,,,25.888638,2019.0,12.0
116,2019-12-06,LIBRE INVERSIÓN,COPFINANCIAR,3600000.0,48.0,SEC. EDUCACION,,DESEMBOLSADO,2020-01-14,,,3.6,2019.0,12.0
117,2019-12-11,LIBRE INVERSIÓN,MISSION,5700000.0,48.0,SOLDADO PROFESIONAL,,DESEMBOLSADO,2019-12-18,,7.0,5.7,2019.0,12.0
118,2020-01-07,LIBRE INVERSIÓN,MISSION,3000000.0,12.0,SOLDADO PROFESIONAL,,NO_DESEMBOLSADO,,,,3.0,2020.0,1.0
119,2020-01-07,LIBRE INVERSIÓN,MISSION,3000000.0,12.0,SOLDADO PROFESIONAL,,NO_DESEMBOLSADO,,,,3.0,2020.0,1.0
120,2020-01-07,LIBRE INVERSIÓN,MISSION,,60.0,SOLDADO PROFESIONAL,,NO_DESEMBOLSADO,,,,,2020.0,1.0
121,2020-01-07,LIBRE INVERSIÓN,MISSION,3000000.0,12.0,SOLDADO PROFESIONAL,1970,NO_DESEMBOLSADO,,50.0,,3.0,2020.0,1.0
122,2020-01-09,LIBRE INVERSIÓN,PRONALCREDIT,12500000.0,60.0,SEGUROS ALFA,1953,DESEMBOLSADO,2020-01-24,67.0,15.0,12.5,2020.0,1.0
123,2020-01-09,LIBRE INVERSIÓN,PRONALCREDIT,5000000.0,60.0,SURA,1948,NO_DESEMBOLSADO,,72.0,,5.0,2020.0,1.0
80,2020-01-09,COMPRA DE CARTERA,COPFINANCIAR,15000000.0,60.0,COLPENSIONES,1956,DESEMBOLSADO,2020-02-12,64.0,,15.0,2020.0,1.0
85,2020-01-09,LIBRE INVERSIÓN,COOPIDESARROLLO,20000000.0,60.0,COLPENSIONES,1956,DESEMBOLSADO,2020-02-03,64.0,25.0,20.0,2020.0,1.0
83,2020-01-09,LIBRE INVERSIÓN,MISSION,5200000.0,72.0,POLICIA NACIONAL,1962,DESEMBOLSADO,2020-01-16,58.0,7.0,5.2,2020.0,1.0
124,2020-01-09,LIBRE INVERSIÓN,COOPIDESARROLLO,900000.0,48.0,COLPENSIONES,1968,DESEMBOLSADO,2020-02-11,52.0,,0.9,2020.0,1.0
125,2020-01-13,LIBRE INVERSIÓN,MISSION,1000000.0,36.0,COLPENSIONES,1947,DESEMBOLSADO,2020-01-20,73.0,7.0,1.0,2020.0,1.0
126,2020-01-14,LIBRE INVERSIÓN,COOPIDESARROLLO,900000.0,48.0,COLPENSIONES,1950,DESEMBOLSADO,2020-02-06,70.0,23.0,0.9,2020.0,1.0
126,2020-01-14,COMPRA DE CARTERA,CREDIVALORES,27481119.0,120.0,GOBERNACION,1950,DESEMBOLSADO,2020-02-17,70.0,,27.481119,2020.0,1.0
127,2020-01-14,LIBRE INVERSIÓN,COOPIDESARROLLO,3000000.0,48.0,CAGEN,1942,DESEMBOLSADO,2020-03-17,78.0,,3.0,2020.0,1.0
128,2020-01-15,LIBRE INVERSIÓN,VIVECREDITO,1500000.0,108.0,FOPEP,1951,DESEMBOLSADO,2019-01-30,69.0,,1.5,2020.0,1.0
